reaction_id,equation,gpr,g0,data_type
GRTT_num1,grdp_c + ipdp_c --> frdp_c + ppi_c,Cgl0626,-83.9,eQuilibrator_API
GTHOr,gthox_c + h_c + nadph_c --> 2.0 gthrd_c + nadp_c,Cgl2003,-12.2,eQuilibrator_API
GTHRDHpp,gthrd_c + h2o_c --> cgly_c + glu__L_c,Cgl0954,-2.0,eQuilibrator_API
GTPCI,gtp_c + h2o_c --> ahdt_c + for_c + h_c,Cgl2695,-63.0,eQuilibrator_API
GTPDPDP_num1,gdptp_c + h2o_c --> h_c + pi_c + ppgpp_c,Cgl0977,-32.8,eQuilibrator_API
GTPDPK,atp_c + gtp_c --> amp_c + gdptp_c + h_c,Cgl1653,-8.0,eQuilibrator_API
HETZK,4mhetz_c + atp_c --> 4mpetz_c + adp_c + h_c,Cgl1464,-19.1,eQuilibrator_API
HMBS,h2o_c + 4.0 ppbng_c --> hmbil_c + 4.0 nh4_c,Cgl0418,-121.0,eQuilibrator_API
HPPK2,6hmhpt_c + atp_c --> 6hmhptpp_c + amp_c + h_c,Cgl2692,-8.0,eQuilibrator_API
ICHORS,chor_c --> ichor_c,Cgl1292,1.0,eQuilibrator_API
IPDDI,ipdp_c --> dmpp_c,Cgl2305,-4.8,eQuilibrator_API
IPDPS,h2mb4p_c + h_c + nadh_c --> h2o_c + ipdp_c + nad_c,Cgl1026,-56.8,eQuilibrator_API
MEPCT,2me4p_c + ctp_c + h_c --> 4c2me_c + ppi_c,Cgl2660,-9.7,eQuilibrator_API
MOHMT,3mob_c + h2o_c + mlthf_c --> 2dhp_c + thf_c,Cgl0114,10.0,eQuilibrator_API
MSDHD_num1,coa_c + msa_c + nad_c --> accoa_c + co2_c + nadh_c,Cgl0160,-26.0,eQuilibrator_API
NADDP_num1,h2o_c + nad_c --> amp_c + 2.0 h_c + nmn_c,Cgl0778,-42.5,eQuilibrator_API
NADK,atp_c + nad_c --> adp_c + h_c + nadp_c,Cgl1413,-13.1,eQuilibrator_API
NADPPPS_num1,h2o_c + nadp_c --> nad_c + pi_c,Cgl0299,-17.6,eQuilibrator_API
NADS1,atp_c + dnad_c + nh4_c --> amp_c + h_c + nad_c + ppi_c,Cgl2534,-27.0,eQuilibrator_API
NNAM,h2o_c + ncam_c --> nac_c + nh4_c,Cgl2487,-2.5,eQuilibrator_API
NNDMBRT,dmbzid_c + nicrnt_c --> 5prdmbz_c + h_c + nac_c,Cgl2200,-25.0,eQuilibrator_API
NNDPR,2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c,Cgl1068,-26.0,eQuilibrator_API
NPHS,sbzcoa_c --> coa_c + dhna_c,Cgl0463,-110.0,eQuilibrator_API
