reactions,kcat
OHPBAT,1.856144655
DHACOAH,1.815124258
CYSS,1.809367629
UDPGD_num2,1.809367629
FA161ACPHi_num2,1.799678255
OMBZLM,1.799678255
HETZK,1.782765039
FACOAL120t2pp_num2,1.777461733
FACOAL141t2pp_num2,1.777461733
TMPK,1.777461733
GPDDA5,1.777146075
LPLIPAL1A180pp_num1,1.777146075
PPPGO,1.771180285
MI1PP_num1,1.761951342
GLNS_num2,1.753348828
GLUTRR,1.702650595
PGLYCP_num1,1.671191795
UDCPDP,1.611900625
AACPS8_num3,1.561661703
FACOAL100t2pp_num2,1.548569225
SUCBZL,1.548569225
FACOAL140t2pp_num2,1.548569225
2MAHMP,1.548569225
CTBTCAL2,1.523784917
CRNDCAL2,1.523784917
AGM4PApp,1.523784917
MPTSS,1.501481085
SERAT,1.435247387
THCDH,1.428617108
HPPK2,1.415986787
TRE6PP,1.379569617
CDPMEK,1.346178577
AMMQLT8,1.346178577
FACOAL180t2pp_num2,1.346178577
LIPOCT,1.346178577
ATPPRT,1.342383817
DHPPDA2_num1,1.327001987
SUCOAS,1.312428698
ENO_reverse,1.241869168
ADSS,1.241869168
SUCptspp,1.214192558
DXPS,1.075285705
NADS1,1.035424692
FA80ACPHi_num2,1.03263475
GLCP_num2,0.940315246
PYK_num2,0.940315246
IPPMIa_reverse,0.918292151
FA80ACPHi_num1,0.918292151
IPDPS,0.918292151
FA100ACPHi_num1,0.843004204
KARA2_reverse,0.843004204
PSCVT_reverse,0.730055014
SBTptspp,0.730055014
URAt2rpp_reverse_num1,0.730055014
LYSt2pp_reverse,0.730055014
ACPPAT180,0.534060704
PGP180abcpp_num2,
PGP181abcpp_num2,
PHEMEabcpp_num2,
TREptsp_num2,
TREptsp_num3,
TREptspp_num2,
TREptspp_num3,
URAt2pp_num2,
URAt2rpp_num2,
XANt2pp_num2,
ALATRS_num2,
ALATRS_num3,
ALATRS_num4,
ARGTRS_num2,
ARGTRS_num3,
ARGTRS_num4,
ARGTRS_num5,
ASNTRS_num2,
CYSTRS_num2,
FMETTRS_num2,
GLUTRS_num2,
GLUTRS_num3,
GLUTRS_num4,
GLYTRS_num2,
GLYTRS_num3,
GLYTRS_num4,
GLYTRS_num5,
ILETRS_num2,
LEUTRS_num2,
LEUTRS_num3,
LEUTRS_num4,
LEUTRS_num5,
LEUTRS_num6,
LYSTRS_num2,
LYSTRS_num3,
METTRS_num2,
METTRS_num3,
METTRS_num4,
PROTRS_num2,
PROTRS_num3,
SERTRS_num2,
SERTRS_num3,
SERTRS_num4,
THRTRS_num2,
THRTRS_num3,
THRTRS_num4,
VALTRS_num2,
VALTRS_num3,
VALTRS_num4,
