regulator,target,sign,data_type
Cgl0982,Cgl0371,-1,CoryNeRegNet
Cgl0982,Cgl0373,-1,CoryNeRegNet
Cgl0982,Cgl1187,-1,CoryNeRegNet
Cgl0982,Cgl1189,-1,CoryNeRegNet
Cgl0982,Cgl1190,-1,CoryNeRegNet
Cgl0982,Cgl1316,-1,CoryNeRegNet
Cgl0982,Cgl2752,-1,CoryNeRegNet
Cgl0982,Cgl2753,-1,CoryNeRegNet
Cgl0982,Cgl0255,-1,CoryNeRegNet
Cgl0982,Cgl1540,-1,CoryNeRegNet
Cgl0982,Cgl1541,-1,CoryNeRegNet
Cgl0982,Cgl1542,-1,CoryNeRegNet
Cgl1064,Cgl1064,-1,CoryNeRegNet
Cgl1064,Cgl1065,-1,CoryNeRegNet
Cgl1070,Cgl1069,-1,CoryNeRegNet
Cgl1070,Cgl1068,-1,CoryNeRegNet
Cgl1070,Cgl1070,-1,CoryNeRegNet
Cgl1070,Cgl1067,-1,CoryNeRegNet
Cgl1157,Cgl1157,-1,CoryNeRegNet
Cgl1157,Cgl1160,-1,CoryNeRegNet
